Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
729,Intel Core i5-10400,CPU,2020-04-30,14.0,65.0,,,2900.0,Intel,Intel,,,
730,AMD Athlon 64 3400+,CPU,2001-01-01,90.0,67.0,83.0,69.0,2200.0,Unknown,AMD,,,
731,Intel Xeon 3.2,CPU,2004-06-28,90.0,135.0,135.0,155.0,3200.0,Intel,Intel,,,
732,Intel Pentium 4 HT 651,CPU,2006-01-05,65.0,86.0,81.0,188.0,3400.0,Intel,Intel,,,
733,AMD Athlon XP 2000+,CPU,2003-09-01,130.0,60.0,,63.0,1667.0,Unknown,AMD,,,
734,AMD E-350,CPU,2011-01-04,40.0,18.0,75.0,,1600.0,Unknown,AMD,,,
735,Intel Atom E680T,CPU,2010-09-14,45.0,4.0,26.0,47.0,1600.0,Intel,Intel,,,
736,AMD Athlon II X2 250u,CPU,2009-10-20,45.0,25.0,117.0,410.0,1600.0,Unknown,AMD,,,
737,Intel Pentium 4 505J,CPU,2004-12-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,,,
738,Intel Xeon Platinum 8376HL,CPU,2021-04-06,14.0,205.0,,,2600.0,Intel,Intel,,,
739,Intel Pentium 4 511,CPU,2005-01-01,90.0,84.0,109.0,125.0,2800.0,Intel,Intel,,,
740,Intel Xeon W-2195,CPU,2017-09-29,14.0,140.0,,,2300.0,Intel,Intel,,,
741,Intel Xeon Phi 7250F,CPU,2016-06-20,14.0,230.0,,8000.0,1400.0,Intel,Intel,,,
742,AMD Ryzen Threadripper 1940X,CPU,2017-07-29,14.0,180.0,213.0,9600.0,3500.0,GF,AMD,,,
743,Intel Xeon E3-1240,CPU,2011-04-03,32.0,80.0,216.0,1160.0,3300.0,Intel,Intel,,,
744,Intel Core i7-1060G7,CPU,2019-08-01,10.0,12.0,,,1000.0,Intel,Intel,,,
745,Intel Pentium M 1.40,CPU,2003-03-12,130.0,24.0,100.0,77.0,1400.0,Intel,Intel,,,
746,Intel Xeon E5630,CPU,2010-03-16,32.0,80.0,239.0,1170.0,2533.0,Intel,Intel,,,
747,Intel Core i3-7120T,CPU,2017-07-17,14.0,35.0,,,3600.0,Intel,Intel,,,
748,Intel Core i5-2557M,CPU,2011-06-01,32.0,17.0,149.0,624.0,1700.0,Intel,Intel,,,
749,Intel Core i5-4200Y,CPU,2013-06-04,22.0,12.0,118.0,1400.0,1400.0,Intel,Intel,,,
750,Intel Celeron G550T,CPU,2011-09-04,32.0,35.0,131.0,504.0,2200.0,Intel,Intel,,,
751,AMD A4-6300,CPU,2013-06-01,32.0,65.0,246.0,1178.0,3700.0,Unknown,AMD,,,
752,AMD A10-9700,CPU,2017-07-27,28.0,65.0,246.0,1178.0,3500.0,Unknown,AMD,,,
753,AMD Turion 64 MT-32,CPU,2005-03-10,90.0,25.0,125.0,114.0,1800.0,Unknown,AMD,,,
754,Intel Core i3-8300T,CPU,2018-04-02,14.0,35.0,,,3200.0,Intel,Intel,,,
755,AMD Athlon 64 3800+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2400.0,Unknown,AMD,,,
756,Intel Celeron G1630,CPU,2013-09-01,22.0,55.0,94.0,,2800.0,Intel,Intel,,,
757,AMD Turion X2 Ultra ZM-82,CPU,2008-06-01,65.0,35.0,,,2200.0,Unknown,AMD,,,
758,Intel Core i7-2675QM,CPU,2011-10-12,32.0,45.0,216.0,1160.0,2200.0,Intel,Intel,,,
759,AMD Opteron 140,CPU,2003-09-09,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,
