CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Pentium E2180,19.5,671,34.42,748,38.36,65.0,10.33,2,2008,LGA775,Desktop
Intel Celeron E1400,14.0,671,47.91,746,53.28,65.0,10.32,2,2009,LGA775,Desktop
Intel Celeron J3060,,668,,627,,6.0,111.3,2,2016,BGA1170,Desktop
Intel Core2 Duo T5750,9.99,667,66.76,735,73.57,35.0,19.06,2,2008,Socket P,Laptop
Intel Core2 Duo L9300,,666,,659,,17.0,39.17,2,2009,BGA956,Laptop
Intel Celeron N3060,282.0,664,2.36,629,2.23,6.0,110.69,2,2016,unknown,Laptop
Intel Core2 Duo T5850,27.79,657,23.63,769,27.68,,,2,2009,Socket P,Laptop
Intel Core2 Duo T5900,,652,,768,,,,2,2009,Socket P,Laptop
Intel Atom Z3740,,651,,423,,4.0,162.86,4,2013,UTFCBGA1380,Laptop
Intel Celeron E1500,19.65,649,33.02,785,39.95,65.0,9.98,2,2009,LGA775,Desktop
Intel Celeron B800,24.99,649,25.98,645,25.83,35.0,18.55,2,2011,PGA988B,Laptop
Intel Core2 Duo T5600,,645,,696,,34.0,18.98,2,2008,PGA478,Laptop
Intel Pentium T3400,79.95,645,8.06,722,9.03,35.0,18.42,2,2009,PPGA478,Laptop
Intel Pentium T3200,12.0,644,53.69,717,59.73,35.0,18.41,2,2009,PPGA478,Laptop
Intel Core2 Duo T7100,14.99,643,42.89,714,47.61,35.0,18.37,2,2009,BGA479,Laptop
Intel Pentium 987,,642,,641,,17.0,37.77,2,2012,FCBGA1023,Laptop
Intel Core2 Duo T5800,,638,,738,,35.0,18.22,2,2008,PGA478,Laptop
Intel Pentium E2160,89.0,636,7.14,683,7.67,65.0,9.78,2,2008,LGA775,Desktop
Intel Pentium 2129Y,134.0,635,4.74,587,4.38,10.0,63.52,2,2014,FCBGA1023,Laptop
Intel Core2 Duo T5300,,635,,423,,34.0,18.68,2,2009,PGA478,Laptop
Intel Core2 Duo E4400,42.5,632,14.88,753,17.73,65.0,9.73,2,2008,LGA775,Desktop
Intel Pentium 967,,626,,620,,17.0,36.84,2,2012,FCBGA1023,Laptop
Intel Atom C2358,,625,,291,,7.0,89.24,2,2016,FCBGA1283,Laptop
Intel Pentium U5600,,624,,588,,18.0,34.68,2,2011,BGA1288,Laptop
Intel Pentium 957,134.0,622,4.64,574,4.28,17.0,36.59,2,2011,FCBGA1023,Laptop
Intel Atom Z3745,30.0,621,20.72,435,14.51,4.0,155.37,4,2014,UTFCBGA1380,Laptop
Intel Celeron 877,,615,,597,,17.0,36.19,2,2012,BGA1023,Laptop
Intel Atom Z3740D,,614,,459,,4.4,139.48,4,2013,UTFCBGA1380,Laptop
Intel Core2 Duo L7700,,607,,748,,17.0,35.69,2,2009,unknown,Laptop
Intel Celeron N3000,,604,,562,,4.0,150.94,2,2015,FCBGA1170,Laptop
Intel Xeon 5110,35.0,600,17.14,606,17.32,65.0,9.23,2,2009,LGA771,Server
Intel Pentium T2410,,598,,726,,,,2,2009,unknown,Unknown
Intel Core2 Duo E6320,39.99,597,14.92,642,16.05,65.0,9.18,2,2008,PLGA775,Desktop
Intel Atom S1260,64.0,596,9.31,224,3.5,8.5,70.08,2,2013,FCBGA1283,Server
Intel Core2 Duo T5550,,596,,664,,35.0,17.03,2,2008,PGA478,Laptop
Intel Celeron J1750,,595,,659,,10.0,59.53,2,2014,FCBGA1170,Desktop
Intel Celeron N3050,170.0,592,3.48,564,3.32,6.0,98.69,2,2015,FCBGA1170,Laptop
Intel Core2 Duo E6300,127.61,592,4.64,693,5.43,65.0,9.11,2,2008,"LGA775, PLGA775",Desktop
Intel Atom Z3745D,,585,,437,,4.4,133.05,4,2014,unknown,Laptop
Intel Core2 Duo U9600,,584,,657,,10.0,58.45,2,2009,BGA956,Laptop
Intel Celeron 847E,,584,,520,,17.0,34.36,2,2012,FCBGA1023,Laptop
Intel Atom C2338,,584,,233,,7.0,83.4,2,2014,FCBGA1283,Laptop
Intel Xeon MV 3.20GHz,,582,,378,,90.0,6.46,2,2015,mPGA604,Server
Intel Celeron J1800,,581,,664,,10.0,58.09,2,2014,FCBGA1170,Desktop
Intel Celeron N2840,,580,,667,,7.0,82.81,2,2014,FCBGA1170,Laptop
Intel Celeron 1019Y,,576,,521,,10.0,57.65,2,2014,FCBGA1023,Desktop
Intel Core2 Duo L7500,,575,,600,,17.0,33.83,2,2009,BGA479,Laptop
Intel Celeron 857,,569,,476,,17.0,33.49,2,2011,BGA1023,Laptop
Intel Celeron 867,55.7,562,10.08,584,10.49,17.0,33.03,2,2012,BGA1023,Laptop
Intel Core2 Duo E4300,42.5,561,13.21,665,15.65,65.0,8.64,2,2009,LGA775,Desktop
Intel Celeron U3600,,560,,520,,18.0,31.11,2,2011,BGA1288,Laptop
