GPUname,GPUname.1
hd i5 4210u,nvidia quadro fx 3500
hd i5 4210m,amd radeon hd 7950 monica bios 1
hd i5 4210h,amd radeon r7 260
hd i5 4200h,nvidia geforce gt 120m mac edition
hd i5 4200u,ati radeon 8500 x4
hd i5 2520m,nvidia geforce gtx 460 v2
hd i5 2430m,nvidia geforce 7050 + nforce 620i
hd i5 2467m,nvidia geforce 840m
hd i3 m380,intel hd graphics
hd i5 2410m,amd radeon pro v520
hd i3 m390,nvidia geforce4 mx 420 pci
hd i5 4200m,nvidia geforce 6200 turbocache
hd i3 m370,amd firepro m8900
hd m5-6y57,amd radeon hd 8250 igp
hd m5-6y54,intel h3c xg310
hd m7-6y75,amd radeon hd 6630m mac edition
hd m3-6y30,amd radeon r9 m275
hd m-5y70,ati mobility radeon hd 4100 igp
hd m-5y71,nvidia quadro fx 600 pci
hd i3 m330,ati radeon hd 3850
hd m-5y31,nvidia quadro p400
hd i3 6100u,ati radeon 9800
hd i3 6100h,nvidia quadro 7000
hd m-5y51,ati all-in-wonder x800 se
hd i3 2357m,ati radeon hd 2600 xt
hd i3 2370m,intel hd graphics 400
hd i3 2310m,intel gma x4500mhd
hd i3 2330m,ati radeon 9200 pro
hd m-5y10a,ati firemv 2200
hd m-5y10,ati radeon x700 pro
hd i7 m620,ati mobility firegl v3100
hd i7 6820hk,amd radeon hd 6850 x2
hd i7 6820hq,amd radeon hd 7970 ghz edition
hd m-5y10c,ati mobility radeon x1350
hd i7 6920hq,amd radeon e9172 mxm
hd i7 6500u,amd radeon hd 8280 igp
hd i7 5700hq,nvidia tesla t4
intel gma 900,intel hd graphics p530
hd i7 6700hq,ati radeon hd 5670
intel hd graphics mobile (sandy bridge),ati radeon 9700 pro x4
intel hd graphics mobile (ivy bridge),ati radeon x800 xt platinum agp
hd i7 6600u,ati radeon x600 pro
intel gma 950,nvidia quadro k4200
intel hd graphics mobile (haswell),nvidia geforce fx 5200 rev. 2
intel hd graphics mobile (braswell),amd radeon hd 7370m
intel hd graphics mobile (bay trail),nvidia geforce 6800
intel hd graphics mobile,nvidia geforce go 7400t
intel hd graphics 630 mobile,ati radeon hd 5970
intel hd graphics 620 mobile,nvidia geforce fx 5950 ultra
intel hd graphics 6000 mobile,amd radeon r5 240 oem
intel hd graphics 5600 mobile,nvidia quadro fx 470
intel hd graphics 615 mobile,nvidia geforce gtx 750 ti
